@relation xy

@attribute x numeric
@attribute y numeric

@data

81 , 21
111 , 166
192 , 120
142 , 1
163 , 72
149 , 186
108 , 105
29 , 188
108 , 140
43 , 104
76 , 170
119 , 14
94 , 165
65 , 139
36 , 45
142 , 61
17 , 65
134 , 164
143 , 158
77 , 120
20 , 120
21 , 117
4 , 90
43 , 149
101 , 34
67 , 63
11 , 31
25 , 185
97 , 121
0 , 63
61 , 95
38 , 45
45 , 49
72 , 82
143 , 51
9 , 14
73 , 28
196 , 186
170 , 80
112 , 197
21 , 181
89 , 108
154 , 26
185 , 78
121 , 98
10 , 92
158 , 139
90 , 23
71 , 191
177 , 17
22 , 172
65 , 103
19 , 12
43 , 107
71 , 49
53 , 88
66 , 57
25 , 12
150 , 76
143 , 173
130 , 17
83 , 8
17 , 15
181 , 70
36 , 75
132 , 92
125 , 133
150 , 25
69 , 199
3 , 186
104 , 172
148 , 41
66 , 8
76 , 191
103 , 179
55 , 156
55 , 118
47 , 91
79 , 114
89 , 56
117 , 26
74 , 66
187 , 85
192 , 189
99 , 126
197 , 190
46 , 4
159 , 8
148 , 190
116 , 127
131 , 113
17 , 28
173 , 111
29 , 116
133 , 121
180 , 53
110 , 66
182 , 43
116 , 168
33 , 187
104 , 112
13 , 7
127 , 17
37 , 17
63 , 70
139 , 114
107 , 36
88 , 60
197 , 17
25 , 173
98 , 171
191 , 184
9 , 14
65 , 38
183 , 4
155 , 146
156 , 183
164 , 7
84 , 71
180 , 152
195 , 186
129 , 42
73 , 133
27 , 126
171 , 157
103 , 59
33 , 117
169 , 117
149 , 1
19 , 22
155 , 27
122 , 127
85 , 95
108 , 161
35 , 81
74 , 50
2 , 186
167 , 91
136 , 110
115 , 84
4 , 163
76 , 187
154 , 19
6 , 129
110 , 132
35 , 38
71 , 58
143 , 102
34 , 63
197 , 10
95 , 83
73 , 123
31 , 106
44 , 112
22 , 77
107 , 195
159 , 146
105 , 40
17 , 22
118 , 17
139 , 36
76 , 181
42 , 19
141 , 110
156 , 171
40 , 26
79 , 185
5 , 178
182 , 47
34 , 66
177 , 5
17 , 107
93 , 45
158 , 182
72 , 123
111 , 185
185 , 64
169 , 92
195 , 91
69 , 137
189 , 189
3 , 22
73 , 125
118 , 53
137 , 51
61 , 137
171 , 7
51 , 170
15 , 124
197 , 138
108 , 132
169 , 16
13 , 156
100 , 109
144 , 69
190 , 25
137 , 119
149 , 46
123 , 108
99 , 148
170 , 68
45 , 174
48 , 60
39 , 31
108 , 151
115 , 53
112 , 103
96 , 158
13 , 11
138 , 143
130 , 126
199 , 162
69 , 107
166 , 131
86 , 66
134 , 79
109 , 10
111 , 24
82 , 148
87 , 106
87 , 65
113 , 181
156 , 193
191 , 21
85 , 63
1 , 8
123 , 182
110 , 56
187 , 122
31 , 71
172 , 147
68 , 28
82 , 37
185 , 122
52 , 43
29 , 27
150 , 26
197 , 27
101 , 140
46 , 168
164 , 157
155 , 186
25 , 195
48 , 57
196 , 184
159 , 83
81 , 37
137 , 96
15 , 79
32 , 172
85 , 103
125 , 157
185 , 125
54 , 10
199 , 123
113 , 110
52 , 100
116 , 28
119 , 132
62 , 156
94 , 197
35 , 56
116 , 111
28 , 114
105 , 174
67 , 70
28 , 33
118 , 34
144 , 16
81 , 112
3 , 69
50 , 40
167 , 172
91 , 99
37 , 159
43 , 113
7 , 109
69 , 153
0 , 143
42 , 148
183 , 189
46 , 157
111 , 80
135 , 106
196 , 165
11 , 163
168 , 187
67 , 153
180 , 27
121 , 117
192 , 68
31 , 82
87 , 166
35 , 6
24 , 103
110 , 78
194 , 10
40 , 182
32 , 69
15 , 6
92 , 58
160 , 93
50 , 93
172 , 86
167 , 167
191 , 78
55 , 113
33 , 189
165 , 71
166 , 168
174 , 43
22 , 65
161 , 150
55 , 18
116 , 181
69 , 140
164 , 62
77 , 22
198 , 157
137 , 124
188 , 6
59 , 27
94 , 97
195 , 73
102 , 187
162 , 100
32 , 130
193 , 180
69 , 158
15 , 147
199 , 25
16 , 136
133 , 111
75 , 54
199 , 2
92 , 29
181 , 83
32 , 88
115 , 84
109 , 52
169 , 25
41 , 57
152 , 187
123 , 66
176 , 155
114 , 154
166 , 178
157 , 31
21 , 135
18 , 90
180 , 160
32 , 31
146 , 4
37 , 77
24 , 156
141 , 73
105 , 87
87 , 188
168 , 148
171 , 130
152 , 67
102 , 127
20 , 35
146 , 197
71 , 146
82 , 117
125 , 118
110 , 121
0 , 177
10 , 70
96 , 145
196 , 56
190 , 135
171 , 136
135 , 77
52 , 133
177 , 140
99 , 55
147 , 7
150 , 176
147 , 45
134 , 1
20 , 63
91 , 163
33 , 76
57 , 101
147 , 37
77 , 199
12 , 115
17 , 71
13 , 24
40 , 119
163 , 187
52 , 66
27 , 110
179 , 60
78 , 155
140 , 14
195 , 128
36 , 38
97 , 104
176 , 73
17 , 33
61 , 184
73 , 5
45 , 66
63 , 57
128 , 163
71 , 97
144 , 71
55 , 124
64 , 42
122 , 136
115 , 54
81 , 126
41 , 106
111 , 10
141 , 70
162 , 165
166 , 135
166 , 177
1 , 44
161 , 4
122 , 198
59 , 18
17 , 95
85 , 129
174 , 96
39 , 105
4 , 6
133 , 44
178 , 125
54 , 60
35 , 106
80 , 7
70 , 26
198 , 147
19 , 26
7 , 24
72 , 43
141 , 43
77 , 144
87 , 16
32 , 99
150 , 6
47 , 49
47 , 179
62 , 51
46 , 196
70 , 52
121 , 172
136 , 170
184 , 30
194 , 145
42 , 60
22 , 42
169 , 79
153 , 127
184 , 106
118 , 28
38 , 104
17 , 134
165 , 78
26 , 43
51 , 161
22 , 66
122 , 131
160 , 87
161 , 112
21 , 94
9 , 184
70 , 150
39 , 65
11 , 29
40 , 37
168 , 153
29 , 89
68 , 104
68 , 48
160 , 18
137 , 158
176 , 138
145 , 115
143 , 182
189 , 22
176 , 131
170 , 178
35 , 35
187 , 29
47 , 155
171 , 123
125 , 103
88 , 125
81 , 56
63 , 70
76 , 79
74 , 70
175 , 196
50 , 166
6 , 139
197 , 111
38 , 133
34 , 36
5 , 123
25 , 167
170 , 108
150 , 90
33 , 49
22 , 165
62 , 67
198 , 73
185 , 195
74 , 196
89 , 35
127 , 187
174 , 77
23 , 106
98 , 114
147 , 20
7 , 45
25 , 68
130 , 162
74 , 75
4 , 5
25 , 115
64 , 101
142 , 32
25 , 41
75 , 156
15 , 16
30 , 112
74 , 12
159 , 198
87 , 35
106 , 105
52 , 71
161 , 121
194 , 191
157 , 198
28 , 119
136 , 142
141 , 29
95 , 87
154 , 177
124 , 198
23 , 69
46 , 185
184 , 35
78 , 187
56 , 82
52 , 94
86 , 87
147 , 169
151 , 154
88 , 141
134 , 112
126 , 170
122 , 42
58 , 42
122 , 125
12 , 81
119 , 18
63 , 29
190 , 110
80 , 14
40 , 110
103 , 55
142 , 186
142 , 51
72 , 67
79 , 98
83 , 106
45 , 93
51 , 26
48 , 79
100 , 141
43 , 82
133 , 182
19 , 106
109 , 5
62 , 170
152 , 30
34 , 108
70 , 128
154 , 41
114 , 50
195 , 94
2 , 10
188 , 73
136 , 178
162 , 127
124 , 50
55 , 196
182 , 119
103 , 17
93 , 142
50 , 170
2 , 140
34 , 122
114 , 43
66 , 149
89 , 124
112 , 17
84 , 193
103 , 78
158 , 32
6 , 195
167 , 119
111 , 22
144 , 100
77 , 174
35 , 117
198 , 44
